x y label
692.241242638 1331.73737731 0
618.560238007 1382.99202959 0
657.915627009 1468.55777591 0
692.251415119 926.435611515 0
717.895909048 1191.73042755 0
650.499633239 1198.1760919 0
581.178432303 1185.62160351 0
646.138114497 1007.78905518 0
622.48055461 1184.05265915 0
651.387232028 1245.13320832 0
622.989648653 980.705733846 0
647.756190222 1210.87350179 0
632.088372973 1536.80419121 0
574.102393698 1365.78407418 0
586.826315251 1249.7529997 0
618.24730774 1164.79792576 0
622.087635927 994.548688474 0
736.597828256 1232.5523713 0
539.003471718 1290.23152167 0
676.197860019 1090.93012907 0
612.847994409 1199.45636282 0
713.828158126 1165.05846484 0
651.384966596 1064.94325286 0
531.91551258 1178.03017323 0
641.382766997 1141.72774573 0
614.554927884 1067.69282992 0
708.728804035 1086.29640997 0
722.789499993 1213.32073223 0
693.734031924 1127.61865403 0
704.355538605 1167.5196804 0
639.484244386 1008.54374113 0
633.443703266 1237.70841177 0
657.30974548 1262.87883454 0
695.942419496 1453.5454798 0
502.120572644 1312.4030116 0
742.47128909 1271.12975913 0
705.974583257 1164.90971294 0
587.769409765 1071.77677219 0
536.820526204 1372.31929124 0
585.778806696 1197.18412096 0
801.30143342 1310.13477619 0
671.743414809 1039.63704279 0
684.283591004 1104.71268219 0
778.965576511 1378.00375816 0
653.892270775 1009.28450238 0
699.954691187 1084.01603278 0
656.299189914 1190.13352826 0
653.387506441 1012.02342574 0
661.859239121 1412.4924279 0
605.057429242 1139.60461009 0
601.755940442 1535.36957045 0
672.583580583 1082.0888794 0
624.712056019 1042.00896832 0
734.753539384 1362.53189838 0
662.895683297 1117.61369141 0
666.431259792 1185.19708743 0
689.187335011 1259.01734685 0
636.118619552 1122.41013275 0
521.911609656 1624.88607216 0
639.040445664 1141.5181643 0
683.295832224 1229.55892093 0
675.040135121 1107.20551933 0
644.063120774 1208.37122271 0
531.375608278 1296.81167219 0
707.475909895 1306.25969055 0
669.513335301 964.256926872 0
672.474478103 1087.30019449 0
595.991933078 1076.06692401 0
668.871041969 1031.49485947 0
800.81956922 1201.94164139 0
613.948562223 1046.14790444 0
656.111198262 1212.7727613 0
582.966240054 1091.93029567 0
770.265566322 1140.34544997 0
506.864798972 1261.79432661 0
635.303877623 1101.93423942 0
651.055138827 1097.4410409 0
662.857458556 1104.07654145 0
584.818051815 1184.07038687 0
