lambda js same-js diff-js entropy js-v same-js-v diff-js-v entropy-v
0.0 0.265512066933 0.308836587916 0.213470076125 0.655024907233 0.273793041706 0.319463670254 0.218602091074 0.657319462619
0.05 0.265309539675 0.329938606068 0.187649929176 0.26620045292 0.273702412844 0.341027796268 0.192342653871 0.267457758597
0.1 0.266978151319 0.34762390223 0.170087939117 0.110610702653 0.275288015604 0.359063565731 0.174048945308 0.112946728079
0.15 0.269832432453 0.367578321439 0.152395983644 0.101473760726 0.278480619192 0.378636926413 0.157446071506 0.103613067335
0.2 0.271280382948 0.37115941768 0.151309828908 0.0940155967303 0.280645221472 0.383692055941 0.156117677689 0.095911029763
0.25 0.271268061425 0.372653078631 0.149467170193 0.0832593527194 0.277729481459 0.383266448975 0.150192663074 0.085079206427
0.3 0.275043722036 0.39060562392 0.136203846409 0.0880395086289 0.283512294292 0.402753502131 0.139414519072 0.090282127069
0.35 0.282823923541 0.426347139606 0.110373409065 0.0949821051585 0.29085072875 0.436951726675 0.11429399997 0.0961686998013
0.4 0.286229072721 0.434201423193 0.10841645986 0.0944170726311 0.293739140034 0.44329637289 0.113005802035 0.0952892833045
0.45 0.292907739892 0.465500134998 0.0855166340487 0.10100157702 0.299759089947 0.47421681881 0.0889345481992 0.101570505597
0.5 0.294255466366 0.451595274034 0.105176873734 0.0951032984769 0.301195174456 0.46039262414 0.108811996877 0.0959992626516
0.55 0.302164524976 0.47365506807 0.0960992535382 0.101888641212 0.309996753931 0.485040545464 0.0984639674425 0.103291426601
0.6 0.30240651636 0.473352998495 0.0969957830442 0.0976993247192 0.309398680925 0.482088923454 0.10071003437 0.0984074426627
0.65 0.303794839631 0.484505926722 0.0865836132981 0.100684445632 0.310418426991 0.493859708309 0.0887376442552 0.101193899885
0.7 0.312756077095 0.509747971786 0.0760222889163 0.107560679702 0.317695111036 0.514789223671 0.0795154199004 0.107727523061
0.75 0.31411326992 0.502763692952 0.0873639038278 0.10703057334 0.320768207312 0.509943366051 0.0921582058072 0.10774536318
0.8 0.307309059278 0.477783338607 0.10244652734 0.0972607336674 0.313827604055 0.486103713512 0.105639412999 0.0984297509151
0.85 0.308176877308 0.487964680955 0.0920985717258 0.0998863552433 0.314849585295 0.494134783745 0.0981912761927 0.100406100945
0.9 0.313227641436 0.507158602674 0.0801833275637 0.107027273286 0.317679017782 0.510714948177 0.0844035744667 0.107824664434
0.95 0.317388868405 0.500353788123 0.0975099803388 0.105619176859 0.326212137938 0.510036885738 0.104067951441 0.106163570107
