epoch train valid
1.0 0.583965146344 0.584255896205
2.0 0.380308943652 0.390725178502
3.0 0.3438712238 0.353661367882
4.0 0.325956971472 0.335119190566
5.0 0.315347470817 0.32408564318
6.0 0.307527421941 0.315847492996
7.0 0.301707616594 0.30984485888
8.0 0.297402800203 0.305282372599
9.0 0.293790797248 0.301563773131
10.0 0.290699441478 0.298309418513
11.0 0.288349396612 0.295933693707
12.0 0.286247844913 0.293698648335
13.0 0.284256758657 0.291707456208
14.0 0.282590327876 0.290027749882
15.0 0.281167489747 0.288555025876
16.0 0.279869294922 0.287248947141
17.0 0.278756377181 0.286056584552
18.0 0.277484278814 0.28476125154
19.0 0.276270732032 0.283495727578
20.0 0.275380181548 0.282594966379
21.0 0.274692920132 0.2818772337
22.0 0.273906484806 0.28103669744
23.0 0.273120465543 0.280267336052
24.0 0.272389817241 0.279517062254
25.0 0.271692600215 0.278811191834
26.0 0.271047339292 0.278151567078
27.0 0.270420809031 0.277523258298
28.0 0.269793955577 0.276895717225
29.0 0.269211107491 0.276281251493
30.0 0.268561053262 0.275633913069
31.0 0.267875232397 0.274904823248
32.0 0.267432405623 0.274446488449
33.0 0.266815941496 0.273814815733
34.0 0.266332341371 0.273328944262
35.0 0.265774691701 0.272741069303
36.0 0.265268319959 0.272222616055
37.0 0.264767681509 0.271707048181
38.0 0.26425945333 0.271209455442
39.0 0.263663382581 0.270622864943
40.0 0.263092002701 0.270041882214
41.0 0.262596968976 0.269540036274
42.0 0.262079518482 0.269020969642
43.0 0.261588780968 0.268529477157
44.0 0.261016901534 0.267952362122
45.0 0.260532927234 0.267466549776
46.0 0.260023764684 0.26695414733
47.0 0.259573146911 0.26649501204
48.0 0.259139766474 0.266028337948
49.0 0.258770183997 0.265667055287
50.0 0.258395284645 0.265284821678
51.0 0.258052314614 0.264910922264
52.0 0.257640611549 0.264490428427
53.0 0.25732402976 0.26417940995
54.0 0.25700251252 0.263840557159
55.0 0.256655331559 0.26346950902
56.0 0.256320896376 0.263134720685
57.0 0.256048937818 0.262837678516
58.0 0.255771133351 0.262565611548
59.0 0.255553001369 0.262323035948
60.0 0.255327617412 0.262098626283
61.0 0.255086800446 0.261838061312
62.0 0.254902301391 0.261644340243
63.0 0.25471798405 0.261442654083
64.0 0.254524602563 0.261239872037
65.0 0.254311867669 0.261026059296
66.0 0.254152421145 0.260849473283
67.0 0.253969301818 0.260633632497
68.0 0.253794514878 0.260469426322
69.0 0.253692614822 0.260350680895
70.0 0.253539233334 0.260205105487
71.0 0.253375233161 0.260019711013
72.0 0.253246523893 0.259886309258
73.0 0.253137898689 0.259764107757
74.0 0.252941169746 0.259571055346
75.0 0.252836426701 0.259449994175
76.0 0.252702109193 0.259318234048
77.0 0.252554479872 0.259160535727
78.0 0.252401831777 0.258998842437
79.0 0.252368555249 0.258950506365
80.0 0.252156163325 0.258744932942
81.0 0.252061267867 0.258629482334
82.0 0.251967152762 0.258541344398
83.0 0.251842356851 0.258412794773
84.0 0.251702539722 0.258259336612
85.0 0.251609235266 0.258165557493
86.0 0.251546950368 0.258099477627
87.0 0.251413462381 0.257951012117
88.0 0.25131024548 0.25785574346
89.0 0.251202536636 0.257726215923
90.0 0.251080864068 0.25761962399
91.0 0.251004284514 0.257533163292
92.0 0.250874639172 0.257390191629
93.0 0.250801219344 0.257300263783
94.0 0.250670282048 0.257167190172
95.0 0.250559455103 0.257050225834
96.0 0.250494258756 0.256990916361
97.0 0.250433326931 0.256921300658
98.0 0.250315894499 0.256796072144
99.0 0.250221473693 0.256700941574
100.0 0.250132747697 0.256600920579
101.0 0.250028340436 0.256489716118
102.0 0.249955007152 0.256415031568
103.0 0.249878506991 0.256329197806
104.0 0.249822058881 0.256263272827
105.0 0.249699779204 0.256136285328
106.0 0.249615760301 0.256044365829
107.0 0.249538530918 0.255966785924
108.0 0.249444407845 0.255851568507
109.0 0.249378961817 0.255785327826
110.0 0.249309461465 0.255713714707
111.0 0.249218542216 0.255607696312
112.0 0.249153620032 0.255546727101
113.0 0.249073694117 0.255456024764
114.0 0.249010879342 0.255399745661
115.0 0.248936312716 0.25531526492
116.0 0.248882514346 0.255251254281
117.0 0.248801228788 0.255172792803
118.0 0.248733933401 0.25510554924
119.0 0.248686159895 0.255051010835
120.0 0.248630935501 0.25499444185
121.0 0.248579556973 0.254940176528
122.0 0.248520623925 0.254873794982
123.0 0.24846718688 0.25482088261
124.0 0.2484039138 0.254744582225
125.0 0.248353055676 0.254703955108
126.0 0.24830032607 0.25465864269
