epoch train valid
1.0 0.432982512802 0.433346927166
2.0 0.0897662988717 0.0934944301844
3.0 0.0825596480343 0.0889299288392
4.0 0.0786552809226 0.0867199152708
5.0 0.0760257003489 0.0854914262891
6.0 0.0738141746875 0.084665864706
7.0 0.0717059398691 0.0841148644686
8.0 0.0700731607822 0.0838395059109
9.0 0.0685067186894 0.0833515003324
10.0 0.0669392400052 0.0833950638771
11.0 0.065584612202 0.083290502429
12.0 0.064613511657 0.0833675563335
13.0 0.0632762469164 0.0830322876573
14.0 0.0621939394272 0.0828892067075
15.0 0.0613544266085 0.0828215032816
16.0 0.060600450977 0.0829525589943
17.0 0.0598161584879 0.0830712094903
18.0 0.059190139479 0.0831287950277
19.0 0.0588961125076 0.083306260407
20.0 0.0583514625781 0.0835901647806
21.0 0.0578938724251 0.0839037746191
22.0 0.057558372359 0.0842777341604
23.0 0.0575322597375 0.0847279801965
24.0 0.0566020682688 0.0847631245852
25.0 0.0555344514033 0.0845150277019
26.0 0.0545482922275 0.0842202231288
27.0 0.0536222000776 0.0839506611228
28.0 0.0529250454087 0.0837542712688
29.0 0.0521845706276 0.083423808217
