frequency f1 f2 f3 f4 f5 f6 f7 f8 f9 f10 f11 f12 f13 f14 f15 f16 f17 f18 f19 f20
460.937500 nan nan nan 0.005836 0.001342 nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan
468.750000 nan nan nan 0.005438 0.001695 nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan
476.562500 nan nan nan 0.005040 0.002048 nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan
484.375000 nan nan nan 0.004642 0.002401 nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan
492.187500 nan nan nan 0.004244 0.002754 nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan
500.000000 nan nan nan 0.003846 0.003107 nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan
507.812500 nan nan nan 0.003448 0.003460 nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan
515.625000 nan nan nan 0.003050 0.003813 nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan
523.437500 nan nan nan 0.002652 0.004166 nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan
531.250000 nan nan nan 0.002254 0.004519 nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan
539.062500 nan nan nan 0.001856 0.004872 nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan
546.875000 nan nan nan 0.001458 0.005225 nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan
554.687500 nan nan nan 0.001060 0.005578 nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan
562.500000 nan nan nan 0.000661 0.005931 nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan
570.312500 nan nan nan 0.000263 0.006284 0.000000 nan nan nan nan nan nan nan nan nan nan nan nan nan nan
578.125000 nan nan nan 0.000000 0.006412 0.000094 nan nan nan nan nan nan nan nan nan nan nan nan nan nan
585.937500 nan nan nan nan 0.006099 0.000372 nan nan nan nan nan nan nan nan nan nan nan nan nan nan
593.750000 nan nan nan nan 0.005786 0.000649 nan nan nan nan nan nan nan nan nan nan nan nan nan nan
601.562500 nan nan nan nan 0.005473 0.000927 nan nan nan nan nan nan nan nan nan nan nan nan nan nan
609.375000 nan nan nan nan 0.005159 0.001205 nan nan nan nan nan nan nan nan nan nan nan nan nan nan
617.187500 nan nan nan nan 0.004846 0.001483 nan nan nan nan nan nan nan nan nan nan nan nan nan nan
625.000000 nan nan nan nan 0.004533 0.001760 nan nan nan nan nan nan nan nan nan nan nan nan nan nan
632.812500 nan nan nan nan 0.004220 0.002038 nan nan nan nan nan nan nan nan nan nan nan nan nan nan
