epoch train valid
1.0 0.437037601783 0.43735049665
2.0 0.0910135841134 0.0934676229954
3.0 0.0856607084744 0.0896087922156
4.0 0.0829027625821 0.0880133584142
5.0 0.0807389190639 0.0866811387241
6.0 0.0791068436827 0.0857802182436
7.0 0.0774209627054 0.0851247608662
8.0 0.0761110679493 0.0848238877952
9.0 0.0751255514958 0.0846004672348
10.0 0.0741917805832 0.0843405649066
11.0 0.0731311383218 0.0839808881283
12.0 0.0719879313451 0.0835339836776
13.0 0.0709518496891 0.0831815898418
14.0 0.0700513678996 0.0829698629677
15.0 0.0692242175462 0.0828341171145
16.0 0.0684523284029 0.0827421806753
17.0 0.0677337638871 0.0826858095825
18.0 0.0670710112646 0.0826555863023
19.0 0.0664683000593 0.0826492123306
20.0 0.0659231963169 0.0826649032533
21.0 0.0654408412222 0.0827127918601
22.0 0.0650439071964 0.082812231034
23.0 0.0646812356399 0.0829270891845
24.0 0.0643121281421 0.0830263197422
25.0 0.0639306565884 0.0831134133041
26.0 0.0635489161032 0.083200301975
27.0 0.0631685323851 0.0832819901407
28.0 0.0627984176377 0.0833638869226
29.0 0.0624365241797 0.0834482312202
30.0 0.0620533879187 0.0835116542876
